trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
t_692628_b_19432_tn_0,04:28:00,04:28:00,70261,1,San Francisco,0,0,0,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,04:33:00,04:33:00,70241,2,San Francisco,0,0,4121.0312279651,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,04:39:00,04:39:00,70231,3,San Francisco,0,0,10016.3784446975,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,04:43:00,04:43:00,70221,4,San Francisco,0,0,13203.4729348399,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,04:48:00,04:48:00,70211,5,San Francisco,0,0,17517.6746005032,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,04:52:00,04:52:00,70201,6,San Francisco,0,0,20625.8583537593,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,04:57:00,04:57:00,70191,7,San Francisco,0,0,24569.4408440563,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,05:01:00,05:01:00,70171,8,San Francisco,0,0,27117.3871635043,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,05:04:00,05:04:00,70161,9,San Francisco,0,0,29128.1469454012,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,05:10:00,05:10:00,70141,10,San Francisco,0,0,34727.8171596376,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,05:15:00,05:15:00,70131,11,San Francisco,0,0,38221.4400032786,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,05:18:00,05:18:00,70121,12,San Francisco,0,0,40206.9603876769,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,05:22:00,05:22:00,70111,13,San Francisco,0,0,42900.3327322139,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,05:25:00,05:25:00,70101,14,San Francisco,0,0,44889.9052968652,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,05:28:00,05:28:00,70091,15,San Francisco,0,0,47023.4790223335,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,05:32:00,05:32:00,70081,16,San Francisco,0,0,49347.8958765096,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,05:36:00,05:36:00,70061,17,San Francisco,0,0,53667.8424172783,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,05:41:00,05:41:00,70051,18,San Francisco,0,0,57820.8196455519,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,05:45:00,05:45:00,70041,19,San Francisco,0,0,60789.7961512279,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,05:51:00,05:51:00,70031,20,San Francisco,0,0,67464.9805202426,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,05:57:00,05:57:00,70021,21,San Francisco,0,0,72891.4361079537,1,,,,,1,1,,,,
t_692628_b_19432_tn_0,06:03:00,06:03:00,70011,22,San Francisco,0,0,75413.92967075,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,04:55:00,04:55:00,70012,1,San Jose Diridon,0,0,0,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,04:59:00,04:59:00,70022,2,San Jose Diridon,0,0,2521.94934933267,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,05:04:00,05:04:00,70032,3,San Jose Diridon,0,0,7945.56059765829,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,05:10:00,05:10:00,70042,4,San Jose Diridon,0,0,14619.7712121977,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,05:14:00,05:14:00,70052,5,San Jose Diridon,0,0,17584.6247967157,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,05:18:00,05:18:00,70062,6,San Jose Diridon,0,0,21739.4168658316,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,05:22:00,05:22:00,70082,7,San Jose Diridon,0,0,26051.242015995,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,05:25:00,05:25:00,70092,8,San Jose Diridon,0,0,28359.0896274866,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,05:28:00,05:28:00,70102,9,San Jose Diridon,0,0,30508.0817525413,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,05:32:00,05:32:00,70112,10,San Jose Diridon,0,0,32512.9461798488,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,05:35:00,05:35:00,70122,11,San Jose Diridon,0,0,35207.9509612786,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,05:38:00,05:38:00,70132,12,San Jose Diridon,0,0,37198.8284993426,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,05:41:00,05:41:00,70142,13,San Jose Diridon,0,0,40691.4466210179,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,05:47:00,05:47:00,70162,14,San Jose Diridon,0,0,46292.0133332009,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,05:51:00,05:51:00,70172,15,San Jose Diridon,0,0,48303.3956478896,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,05:55:00,05:55:00,70192,16,San Jose Diridon,0,0,50851.6655526652,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,05:59:00,05:59:00,70202,17,San Jose Diridon,0,0,54791.350663621,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,06:04:00,06:04:00,70212,18,San Jose Diridon,0,0,57899.7649389846,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,06:10:00,06:10:00,70222,19,San Jose Diridon,0,0,62212.2823591317,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,06:15:00,06:15:00,70232,20,San Jose Diridon,0,0,65402.2261325781,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,06:22:00,06:22:00,70242,21,San Jose Diridon,0,0,71291.9062640633,1,,,,,1,1,,,,
t_692629_b_19432_tn_0,06:31:00,06:31:00,70262,22,San Jose Diridon,0,0,75417.1940689699,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,04:55:00,04:55:00,70271,1,San Francisco,0,0,0,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,05:03:00,05:03:00,70261,2,San Francisco,0,0,2898.26431637197,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,05:08:00,05:08:00,70241,3,San Francisco,0,0,7023.78917774393,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,05:13:00,05:13:00,70231,4,San Francisco,0,0,12919.1363944763,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,05:18:00,05:18:00,70221,5,San Francisco,0,0,16106.2308846187,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,05:23:00,05:23:00,70211,6,San Francisco,0,0,20420.432550282,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,05:27:00,05:27:00,70201,7,San Francisco,0,0,23528.6163035381,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,05:31:00,05:31:00,70191,8,San Francisco,0,0,27472.1987938351,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,05:36:00,05:36:00,70171,9,San Francisco,0,0,30020.1451132831,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,05:39:00,05:39:00,70161,10,San Francisco,0,0,32030.90489518,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,05:44:00,05:44:00,70141,11,San Francisco,0,0,37630.5751094164,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,05:49:00,05:49:00,70131,12,San Francisco,0,0,41124.1979530574,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,05:52:00,05:52:00,70121,13,San Francisco,0,0,43109.7183374558,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,05:56:00,05:56:00,70111,14,San Francisco,0,0,45803.0906819927,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,05:59:00,05:59:00,70101,15,San Francisco,0,0,47792.663246644,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,06:03:00,06:03:00,70091,16,San Francisco,0,0,49926.2369721123,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,06:06:00,06:06:00,70081,17,San Francisco,0,0,52250.6538262885,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,06:11:00,06:11:00,70061,18,San Francisco,0,0,56570.6003670571,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,06:16:00,06:16:00,70051,19,San Francisco,0,0,60723.5775953307,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,06:20:00,06:20:00,70041,20,San Francisco,0,0,63692.5541010067,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,06:26:00,06:26:00,70031,21,San Francisco,0,0,70367.7384700214,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,06:32:00,06:32:00,70021,22,San Francisco,0,0,75794.1940577325,1,,,,,1,1,,,,
t_692630_b_19432_tn_0,06:38:00,06:38:00,70011,23,San Francisco,0,0,78316.68762054,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,05:25:00,05:25:00,70012,1,Tamien,0,0,0,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,05:29:00,05:29:00,70022,2,Tamien,0,0,2521.94934933267,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,05:34:00,05:34:00,70032,3,Tamien,0,0,7945.56059765829,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,05:40:00,05:40:00,70042,4,Tamien,0,0,14619.7712121977,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,05:44:00,05:44:00,70052,5,Tamien,0,0,17584.6247967157,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,05:48:00,05:48:00,70062,6,Tamien,0,0,21739.4168658316,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,05:53:00,05:53:00,70082,7,Tamien,0,0,26051.242015995,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,05:57:00,05:57:00,70092,8,Tamien,0,0,28359.0896274866,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,06:00:00,06:00:00,70102,9,Tamien,0,0,30508.0817525413,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,06:03:00,06:03:00,70112,10,Tamien,0,0,32512.9461798488,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,06:07:00,06:07:00,70122,11,Tamien,0,0,35207.9509612786,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,06:10:00,06:10:00,70132,12,Tamien,0,0,37198.8284993426,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,06:15:00,06:15:00,70142,13,Tamien,0,0,40691.4466210179,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,06:20:00,06:20:00,70162,14,Tamien,0,0,46292.0133332009,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,06:24:00,06:24:00,70172,15,Tamien,0,0,48303.3956478896,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,06:28:00,06:28:00,70192,16,Tamien,0,0,50851.6655526652,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,06:32:00,06:32:00,70202,17,Tamien,0,0,54791.350663621,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,06:37:00,06:37:00,70212,18,Tamien,0,0,57899.7649389846,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,06:42:00,06:42:00,70222,19,Tamien,0,0,62212.2823591317,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,06:46:00,06:46:00,70232,20,Tamien,0,0,65402.2261325781,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,06:51:00,06:51:00,70242,21,Tamien,0,0,71291.9062640633,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,07:01:00,07:01:00,70262,22,Tamien,0,0,75417.1940689363,1,,,,,1,1,,,,
t_692631_b_19432_tn_0,07:06:00,07:06:00,70272,23,Tamien,0,0,78305.1615470299,1,,,,,1,1,,,,
t_692632_b_19432_tn_0,09:00:00,09:00:00,70012,1,San Jose Diridon,0,0,0,1,,,,,1,1,,,,
t_692632_b_19432_tn_0,09:05:00,09:05:00,70022,2,San Jose Diridon,0,0,2521.94934933267,1,,,,,1,1,,,,
t_692632_b_19432_tn_0,09:10:00,09:10:00,70032,3,San Jose Diridon,0,0,7945.56059765829,1,,,,,1,1,,,,
t_692632_b_19432_tn_0,09:17:00,09:17:00,70042,4,San Jose Diridon,0,0,14619.7712121977,1,,,,,1,1,,,,
t_692632_b_19432_tn_0,09:21:00,09:21:00,70052,5,San Jose Diridon,0,0,17584.6247967157,1,,,,,1,1,,,,
t_692632_b_19432_tn_0,09:25:00,09:25:00,70062,6,San Jose Diridon,0,0,21739.4168658316,1,,,,,1,1,,,,
t_692632_b_19432_tn_0,09:29:00,09:29:00,70082,7,San Jose Diridon,0,0,26051.242015995,1,,,,,1,1,,,,
t_692632_b_19432_tn_0,09:32:00,09:32:00,70092,8,San Jose Diridon,0,0,28359.0896274866,1,,,,,1,1,,,,
t_692632_b_19432_tn_0,09:36:00,09:36:00,70102,9,San Jose Diridon,0,0,30508.0817525413,1,,,,,1,1,,,,
t_692632_b_19432_tn_0,09:39:00,09:39:00,70112,10,San Jose Diridon,0,0,32512.9461798488,1,,,,,1,1,,,,
t_692632_b_19432_tn_0,09:43:00,09:43:00,70122,11,San Jose Diridon,0,0,35207.9509612786,1,,,,,1,1,,,,
