Station,101,103,305,207,309,211,313,215,217,319,221,323,225,227,329,231,233,135,237,139,143,147,151,155,257,159,261,263,365,267,269,371,273,375,277,279,381,283,385,287,289,191,193,195,197,199
Northbound Train No.
Gilroy,,,,,,,,,06:06:00,,06:28:00,,,07:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Martin,,,,,,,,,06:15:00,,06:37:00,,,07:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Hill,,,,,,,,,06:21:00,,06:43:00,,,07:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blossom Hill,,,,,,,,,06:36:00,,06:58:00,,,07:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitol,,,,,,,,,06:42:00,,07:04:00,,,07:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamien,,04:55:00,,05:51:00,05:56:00,,,,06:50:00,06:56:00,07:15:00,,,07:53:00,07:59:00,,08:28:00,,09:37:00,,,,,,14:16:00,,15:32:00,,,,16:33:00,,,,,17:32:00,,,,,18:38:00,,,20:37:00,21:37:00,,
San Jose Diridon,04:28:00,05:03:00,05:45:00,05:59:00,06:04:00,06:23:00,06:49:00,06:54:00,06:59:00,07:04:00,07:23:00,07:49:00,07:54:00,07:59:00,08:04:00,08:23:00,08:39:00,09:13:00,09:50:00,10:13:00,11:13:00,24:13:00,13:13:00,14:13:00,14:24:00,15:13:00,15:40:00,16:12:00,16:24:00,16:30:00,16:40:00,16:45:00,17:10:00,17:20:00,17:30:00,17:40:00,17:45:00,18:10:00,18:20:00,18:35:00,18:45:00,19:07:00,19:45:00,20:45:00,21:45:00,22:30:00,
College Park,,,,,,,,,,,,,,08:03:00,,,,,,,,,,,,15:16:00,,,,,,,,,,,,,,,,,,,,,
Santa Clara,04:33:00,05:08:00,,06:06:00,,06:28:00,,,07:06:00,,07:28:00,,,08:08:00,,08:28:00,08:44:00,09:18:00,09:55:00,10:18:00,11:18:00,24:18:00,13:18:00,14:18:00,14:29:00,15:20:00,15:45:00,16:18:00,,,16:46:00,,17:16:00,,,17:46:00,,18:16:00,,,,19:12:00,19:50:00,20:50:00,21:50:00,22:35:00,
Lawrence,04:39:00,05:13:00,,06:12:00,,,,,07:12:00,,07:34:00,,,08:15:00,,,08:50:00,09:24:00,10:00:00,10:24:00,11:24:00,24:24:00,13:24:00,14:24:00,14:34:00,15:25:00,15:50:00,,,16:41:00,16:54:00,,,,17:41:00,17:54:00,,,,18:45:00,18:55:00,19:18:00,19:55:00,20:55:00,21:55:00,22:40:00,
Sunnyvale,04:43:00,05:18:00,,06:20:00,06:15:00,06:36:00,,07:07:00,07:20:00,07:15:00,07:40:00,,08:07:00,08:22:00,08:15:00,08:36:00,08:55:00,09:29:00,10:05:00,10:28:00,11:28:00,24:28:00,13:28:00,14:28:00,14:39:00,15:30:00,15:57:00,,,,17:00:00,,,,,18:00:00,,,,18:49:00,,19:22:00,20:00:00,21:00:00,22:00:00,22:45:00,
Mountain View,04:48:00,05:23:00,06:01:00,06:25:00,,06:42:00,07:05:00,07:12:00,07:25:00,,07:46:00,08:05:00,08:12:00,08:28:00,,08:42:00,09:00:00,09:34:00,10:10:00,10:33:00,11:33:00,24:33:00,13:33:00,14:33:00,14:44:00,15:35:00,16:02:00,,16:38:00,16:48:00,17:05:00,16:59:00,,17:34:00,17:48:00,18:05:00,17:59:00,,18:34:00,18:54:00,19:03:00,19:27:00,20:05:00,21:05:00,22:05:00,22:50:00,
San Antonio,04:52:00,05:27:00,,06:29:00,,,,,07:29:00,,,,,08:32:00,,,09:04:00,09:38:00,10:14:00,10:37:00,11:37:00,24:37:00,13:37:00,14:37:00,14:47:00,15:39:00,16:06:00,,,,17:09:00,,,,,18:09:00,,,,,,19:31:00,20:08:00,21:08:00,22:08:00,22:54:00,
California Ave,04:57:00,05:31:00,,06:34:00,,06:48:00,,07:18:00,07:34:00,,07:51:00,,08:18:00,08:36:00,,,09:09:00,09:42:00,10:18:00,10:42:00,11:41:00,24:41:00,13:41:00,14:41:00,14:52:00,15:43:00,16:11:00,,,,17:14:00,,,,,18:14:00,,,,,19:09:00,19:35:00,20:13:00,21:13:00,22:13:00,22:59:00,
Palo Alto,05:01:00,05:36:00,06:09:00,06:38:00,06:27:00,,07:13:00,07:22:00,07:38:00,07:28:00,,08:13:00,08:22:00,08:41:00,08:28:00,,09:14:00,09:47:00,10:23:00,10:47:00,11:46:00,24:46:00,13:46:00,14:46:00,14:56:00,15:47:00,16:15:00,16:33:00,16:46:00,16:56:00,17:20:00,17:07:00,17:31:00,17:42:00,17:56:00,18:20:00,18:07:00,18:31:00,18:42:00,19:02:00,19:13:00,19:40:00,20:17:00,21:17:00,22:17:00,23:04:00,
