,101,103,305,207,309,211,313,215,217,319,221,323,225,227,329,231,233,135,237,139,143,147,151,155,257,159,261,263,365,267,269,371,273,375,277,279,381,283,385,287,289,191,193,195,197,199
Gilroy,,,,,,,,,6:06:00,,6:28:00,,,7:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Martin,,,,,,,,,6:15:00,,6:37:00,,,7:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Hill,,,,,,,,,6:21:00,,6:43:00,,,7:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blossom Hill,,,,,,,,,6:36:00,,6:58:00,,,7:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitol,,,,,,,,,6:42:00,,7:04:00,,,7:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamien,,4:55:00,,5:51:00,5:56:00,,,,6:50:00,6:56:00,7:15:00,,,7:53:00,7:59:00,,8:28:00,,9:37:00,,,,,,14:16:00,,15:32:00,,,,16:33:00,,,,,17:32:00,,,,,18:38:00,,,20:37:00,21:37:00,
San Jose Diridon,4:28:00,5:03:00,5:45:00,5:59:00,6:04:00,6:23:00,6:49:00,6:54:00,6:59:00,7:04:00,7:23:00,7:49:00,7:54:00,7:59:00,8:04:00,8:23:00,8:39:00,9:13:00,9:50:00,10:13:00,11:13:00,12:13:00,13:13:00,14:13:00,14:24:00,15:13:00,15:40:00,16:12:00,16:24:00,16:30:00,16:40:00,16:45:00,17:10:00,17:20:00,17:30:00,17:40:00,17:45:00,18:10:00,18:20:00,18:35:00,18:45:00,19:07:00,19:45:00,20:45:00,21:45:00,22:30:00
College Park,,,,,,,,,,,,,,8:03:00,,,,,,,,,,,,15:16:00,,,,,,,,,,,,,,,,,,,,
Santa Clara,4:33:00,5:08:00,,6:06:00,,6:28:00,,,7:06:00,,7:28:00,,,8:08:00,,8:28:00,8:44:00,9:18:00,9:55:00,10:18:00,11:18:00,12:18:00,13:18:00,14:18:00,14:29:00,15:20:00,15:45:00,16:18:00,,,16:46:00,,17:16:00,,,17:46:00,,18:16:00,,,,19:12:00,19:50:00,20:50:00,21:50:00,22:35:00
Lawrence,4:39:00,5:13:00,,6:12:00,,,,,7:12:00,,7:34:00,,,8:15:00,,,8:50:00,9:24:00,10:00:00,10:24:00,11:24:00,12:24:00,13:24:00,14:24:00,14:34:00,15:25:00,15:50:00,,,16:41:00,16:54:00,,,,17:41:00,17:54:00,,,,18:45:00,18:55:00,19:18:00,19:55:00,20:55:00,21:55:00,22:40:00
