,102,104,206,208,310,212,314,216,218,320,222,324,226,228,330,232,134,236,138,142,146,150,152,254,156,258,360,262,264,366,268,370,272,274,376,278,380,282,284,386,288,190,192,194,196,198
San Francisco,4:55:00,5:25:00,6:05:00,6:15:00,6:35:00,6:45:00,6:59:00,7:05:00,7:15:00,7:35:00,7:45:00,7:59:00,8:05:00,8:15:00,8:35:00,8:45:00,9:00:00,9:43:00,10:00:00,11:00:00,12:00:00,13:00:00,14:00:00,14:43:00,15:00:00,15:34:00,16:12:00,16:23:00,16:32:00,16:38:00,16:58:00,17:16:00,17:23:00,17:32:00,17:38:00,17:58:00,18:16:00,18:23:00,18:32:00,18:38:00,18:58:00,19:30:00,20:30:00,21:30:00,22:30:00,24:05:00
22nd Street,4:59:00,5:29:00,6:09:00,6:19:00,6:39:00,6:51:00,7:03:00,7:10:00,7:19:00,7:39:00,7:51:00,8:03:00,8:10:00,8:19:00,8:39:00,8:49:00,9:05:00,,10:04:00,11:04:00,12:04:00,13:04:00,14:04:00,,15:04:00,,,,16:36:00,,,,,17:36:00,,,,,18:36:00,,,19:34:00,20:34:00,21:34:00,22:34:00,24:10:00
Bayshore,5:04:00,5:34:00,,6:24:00,,,,,7:24:00,,,,,8:24:00,,,9:10:00,,10:09:00,11:09:00,12:09:00,13:09:00,14:09:00,,15:09:00,,,,16:41:00,,,,,17:42:00,,,,,18:41:00,,,19:39:00,20:39:00,21:39:00,22:39:00,24:15:00
So San Francisco,5:10:00,5:40:00,,6:31:00,,,,,7:31:00,,,,,8:31:00,,,9:17:00,,10:16:00,11:16:00,12:16:00,13:16:00,14:16:00,,15:16:00,,,,16:52:00,,17:11:00,,,17:51:00,,18:11:00,,,18:52:00,,19:11:00,19:46:00,20:46:00,21:46:00,22:46:00,24:21:00
San Bruno,5:14:00,5:44:00,,6:35:00,,,,7:20:00,7:35:00,,,,8:20:00,8:35:00,,,9:21:00,9:57:00,10:20:00,11:20:00,12:20:00,13:20:00,14:20:00,14:57:00,15:20:00,15:48:00,,16:38:00,16:55:00,,,,17:38:00,17:55:00,,,,18:38:00,18:55:00,,,19:50:00,20:50:00,21:50:00,22:50:00,24:25:00
Millbrae,5:18:00,5:48:00,6:22:00,6:39:00,6:52:00,7:04:00,7:16:00,,7:39:00,7:52:00,8:04:00,8:16:00,,8:39:00,8:52:00,9:02:00,9:25:00,10:01:00,10:25:00,11:25:00,12:25:00,13:25:00,14:25:00,15:01:00,15:27:00,15:53:00,16:28:00,,17:00:00,16:55:00,17:17:00,17:34:00,,18:00:00,17:55:00,18:17:00,18:34:00,,19:00:00,18:55:00,19:17:00,19:56:00,20:56:00,21:56:00,22:56:00,24:33:00
Burlingame,5:22:00,5:53:00,6:26:00,6:44:00,,,,7:27:00,7:44:00,,,,8:27:00,8:44:00,,,9:29:00,10:06:00,10:29:00,11:29:00,12:29:00,13:29:00,14:29:00,15:06:00,15:32:00,15:58:00,,16:44:00,17:05:00,,,,17:44:00,18:05:00,,,,18:44:00,19:05:00,,,20:01:00,21:01:00,22:01:00,23:01:00,24:37:00
San Mateo,5:25:00,5:57:00,6:30:00,6:48:00,,7:11:00,,7:31:00,7:48:00,,8:11:00,,8:31:00,8:48:00,,9:09:00,9:32:00,10:09:00,10:32:00,11:32:00,12:32:00,13:32:00,14:32:00,15:09:00,15:35:00,16:01:00,,16:48:00,17:08:00,17:01:00,,,17:48:00,18:09:00,18:01:00,,,18:48:00,19:08:00,19:01:00,,20:04:00,21:04:00,22:04:00,23:04:00,24:40:00
Hayward Park,5:28:00,6:00:00,,6:51:00,,,,,7:51:00,,,,,8:51:00,,,9:36:00,,10:36:00,11:36:00,12:36:00,13:36:00,14:36:00,,15:39:00,,,,17:12:00,,,,,18:12:00,,,,,19:12:00,,,20:08:00,21:08:00,22:08:00,23:08:00,24:44:00
Hillsdale,5:32:00,6:03:00,6:34:00,6:54:00,,,7:24:00,7:35:00,7:54:00,,,8:24:00,8:35:00,8:54:00,,9:13:00,9:39:00,10:13:00,10:39:00,11:39:00,12:39:00,13:39:00,14:39:00,15:13:00,15:42:00,16:06:00,16:36:00,16:52:00,17:15:00,,17:25:00,17:43:00,17:52:00,18:15:00,,18:25:00,18:44:00,18:52:00,19:15:00,,19:25:00,20:11:00,21:11:00,22:11:00,23:11:00,24:47:00
Belmont,5:35:00,6:07:00,,6:58:00,,,,,7:58:00,,,,,8:58:00,,,9:43:00,10:17:00,10:43:00,11:43:00,12:43:00,13:43:00,14:43:00,15:17:00,15:46:00,16:10:00,,,17:19:00,,,,,18:19:00,,,,,19:19:00,,,20:15:00,21:15:00,22:15:00,23:15:00,24:51:00
San Carlos,5:38:00,6:10:00,6:39:00,7:02:00,,7:18:00,,7:40:00,8:02:00,,8:18:00,,8:40:00,9:02:00,,9:18:00,9:46:00,10:20:00,10:46:00,11:46:00,12:46:00,13:46:00,14:46:00,15:20:00,15:49:00,16:13:00,,16:58:00,17:22:00,,,,17:58:00,18:22:00,,,,18:58:00,19:22:00,,,20:18:00,21:18:00,22:18:00,23:18:00,24:54:00
Redwood City,5:41:00,6:15:00,6:44:00,7:06:00,7:11:00,7:23:00,7:31:00,,8:06:00,8:11:00,8:23:00,8:31:00,,9:06:00,9:11:00,9:23:00,9:51:00,10:25:00,10:51:00,11:51:00,12:51:00,13:51:00,14:51:00,15:25:00,15:54:00,16:18:00,,,17:28:00,17:10:00,17:35:00,,,18:28:00,18:10:00,18:35:00,,,19:28:00,19:10:00,19:35:00,20:23:00,21:23:00,22:23:00,23:23:00,24:59:00
Menlo Park,5:47:00,6:20:00,6:50:00,,7:17:00,7:29:00,,7:48:00,,8:17:00,8:29:00,,8:48:00,,9:17:00,9:29:00,9:56:00,10:30:00,10:56:00,11:56:00,12:56:00,13:56:00,14:56:00,15:30:00,15:59:00,16:24:00,,,17:34:00,,17:41:00,,,18:34:00,,18:41:00,,,19:34:00,,19:41:00,20:28:00,21:28:00,22:28:00,23:28:00,25:04:00
Palo Alto,5:51:00,6:24:00,6:54:00,7:14:00,7:21:00,7:33:00,7:37:00,7:52:00,8:14:00,8:21:00,8:33:00,8:37:00,8:52:00,9:14:00,9:21:00,9:33:00,10:00:00,10:34:00,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,15:34:00,16:04:00,16:28:00,16:47:00,17:06:00,,17:17:00,17:45:00,17:56:00,18:06:00,,18:17:00,18:45:00,18:56:00,19:06:00,,19:17:00,19:45:00,20:32:00,21:32:00,22:32:00,23:32:00,25:08:00
California Ave,5:55:00,6:28:00,6:57:00,,,7:37:00,,,,,8:37:00,,,,,9:37:00,10:04:00,10:37:00,11:04:00,12:04:00,13:04:00,14:04:00,15:04:00,15:38:00,16:08:00,16:31:00,,17:10:00,,17:20:00,17:48:00,,18:10:00,,18:20:00,18:48:00,,19:10:00,,19:20:00,19:48:00,20:35:00,21:35:00,22:35:00,23:35:00,25:11:00
San Antonio,5:59:00,6:32:00,,,,7:41:00,,,,,8:41:00,,,,,9:41:00,10:08:00,10:42:00,11:08:00,12:08:00,13:08:00,14:08:00,15:08:00,15:42:00,16:12:00,16:36:00,,,,,17:52:00,,,,,18:52:00,,,,,19:52:00,20:39:00,21:39:00,22:39:00,23:39:00,25:15:00
Mountain View,6:04:00,6:37:00,7:04:00,,7:28:00,7:46:00,7:50:00,7:59:00,,8:28:00,8:46:00,8:50:00,8:59:00,,9:28:00,9:46:00,10:13:00,10:46:00,11:13:00,12:13:00,13:13:00,14:13:00,15:13:00,15:47:00,16:17:00,16:40:00,16:56:00,17:17:00,17:42:00,,17:57:00,18:03:00,18:17:00,18:42:00,,18:57:00,19:03:00,19:17:00,19:43:00,,19:57:00,20:44:00,21:44:00,22:44:00,23:44:00,25:20:00
Sunnyvale,6:10:00,6:42:00,,,,7:51:00,,,,,8:51:00,,,,,9:51:00,10:18:00,10:51:00,11:18:00,12:18:00,13:18:00,14:18:00,15:18:00,15:52:00,16:22:00,16:46:00,,17:22:00,17:47:00,17:31:00,18:02:00,,18:22:00,18:47:00,18:31:00,19:02:00,,19:22:00,19:48:00,19:31:00,20:03:00,20:49:00,21:49:00,22:49:00,23:49:00,25:25:00
Lawrence,6:15:00,6:46:00,7:09:00,,,7:56:00,,8:07:00,,,8:56:00,,9:07:00,,,9:56:00,10:22:00,10:55:00,11:22:00,12:22:00,13:22:00,14:22:00,15:22:00,15:56:00,16:27:00,16:50:00,,17:27:00,,,18:08:00,,,18:51:00,,19:07:00,,,,,20:08:00,20:53:00,21:53:00,22:53:00,23:53:00,25:29:00
Santa Clara,6:22:00,6:51:00,,7:27:00,,8:03:00,,,8:27:00,,9:03:00,,,9:27:00,,10:03:00,10:27:00,11:01:00,11:28:00,12:28:00,13:28:00,14:28:00,15:28:00,16:01:00,16:32:00,16:55:00,,17:32:00,17:54:00,,18:15:00,,18:29:00,18:57:00,,19:14:00,,,19:55:00,,20:13:00,20:58:00,21:58:00,22:58:00,23:58:00,25:34:00
College Park,,,,,,8:06:00,,,,,,,,,,,,,,,,,,,16:35:00,,,,,,,,,,,,,,,,,,,,,
San Jose Diridon,6:31:00,7:05:00,7:21:00,7:36:00,7:43:00,8:12:00,8:05:00,8:20:00,8:36:00,8:43:00,9:12:00,9:05:00,9:20:00,9:36:00,9:43:00,10:11:00,10:35:00,11:11:00,11:35:00,12:35:00,13:35:00,14:35:00,15:35:00,16:10:00,16:44:00,17:05:00,17:12:00,17:41:00,18:02:00,17:46:00,18:26:00,18:18:00,18:37:00,19:06:00,18:46:00,19:26:00,19:19:00,19:35:00,20:04:00,19:46:00,20:24:00,21:06:00,22:06:00,23:06:00,24:06:00,25:42:00
Tamien,,7:10:00,,,7:48:00,,,,,8:48:00,,,,,9:48:00,,,11:17:00,,,,,,16:15:00,16:50:00,17:10:00,,17:47:00,,17:51:00,18:31:00,,,19:11:00,18:51:00,19:31:00,,,,19:51:00,20:29:00,,22:11:00,23:11:00,,
Capitol,,,,,,,,,,,,,,,,,,,,,,,,,16:57:00,,,17:54:00,,,18:38:00,,,,,,,,,,,,,,,
Blossom Hill,,,,,,,,,,,,,,,,,,,,,,,,,17:03:00,,,18:00:00,,,18:44:00,,,,,,,,,,,,,,,
