Train No.	Tamien	Gilroy	San Martin	Morgan Hill	Blossom Hill	Capitol	Tamien	San Jose	College Park	Santa Clara	Lawrence	Sunnyvale	Mountain View	San Antonio	California Ave	Palo Alto	Menlo Park	Atherton	Redwood City	San Carlos	Belmont	Hillsdale	Hayward Park	San Mateo	Burlingame	Broadway	Millbrae	San Bruno	South San Francisco	Bayshore	22nd Street	San Francisco
101								268		273	279	283	288	292	297	301	304		310	315	318	322	325	328	332		336	341	345	351	357	363
103							295	303		308	313	318	323	327	331	336	339		344	349	352	356	359	363	366		371	376	380	386	392	398
305								345					360			368						378					386					407
207							351	359		366	372	380	385	389	394	398	401		407			414					423		429			444
309							356	364				374				386			392					403			411					428
211								383		388		396	402		408		414		419	424	427	431	434	438	441		446	450	454	461	470	477
313								409					424			432						443					451					471
215								414				426	431		437	441				449		454		458	463			470				487
217		366	375	381	396	402	410	419		426	432	440	445	449	454	458	461		467			474					483		489			504
319							416	424				434				446			452					463			471					491
221		388	397	403	418	424	435	443		448	453	458	464		469		474		480	485	488	492	495	499	502		507	511	515	523	531	538
323								469					484			492						504					513					533
225								474				486	491		497	501				509		514		518	523			530				547
227		426	435	441	456	462	473	479	483	488	495	502	508	512	516	521	524		531			539					548		554			569
329							479	484				494				507			514					524			532					551
231								503		508		516	522				531		537	542	545	549	552	555	559		564	568	572	579	585	592
233							508	519		524	530	535	540	544	549	554	557		564	568	572	575		580	583		588	593				609
135								553		558	564	569	574	578	582	587	590		597	601	605	608	611	614	617		622	627	631	637	643	650
237							577	590		595	600	605	610	614	618	623	626		632	637	640	644		649	652		657	662				677
139								613		618	624	628	633	637	642	647	650		655	659	663	666	669	672	675		680	685	689	695	701	708
143								673		678	684	688	693	697	701	706	709		715	719	723	726	729	732	735		740	745	749	755	761	768
147								733		738	744	748	753	757	761	766	769		775	779	783	786	789	792	795		800	805	809	815	821	828
151								793		798	804	808	813	817	821	826	829		835	839	843	846	849	852	855		860	865	869	875	881	888
155								853		858	864	868	873	877	881	886	889		895	899	903	906	909	912	915		920	925	929	935	941	948
257							856	864		869	874	879	884	887	892	896	899		905	909	913	916		921	924		929	933				950
159								913	916	920	925	930	935	939	943	947	951		956	961	964	968	971	975	978		983	988	992	998	1004	1010
261							932	940		945	950	957	962	966	971	975	979		984	989				996			1002				1016	1022
263								972		978						993			1000	1004	1007	1011	1014	1017	1021		1025	1030	1034	1041	1050	1056
365								984					996			1004	1007		1013								1030				1045	1051
267								990			999		1006			1014	1017			1025		1029		1033	1037			1044			1055	1062
269							992	1000		1006	1014	1020	1025	1029	1034	1040	1043		1049	1053				1060			1068				1080	1086
371								1005					1017			1025			1031			1038					1050				1065	1071
273								1028		1034						1049			1056	1060	1063	1067	1070	1073	1077		1081	1086	1090	1097	1106	1113
375								1040					1052			1060	1063		1069								1086				1101	1107
277								1050			1059		1066			1074	1077			1085		1089		1093	1097			1104			1115	1122
279							1052	1060		1066	1074	1080	1085	1089	1094	1100	1103		1109	1113				1120			1128				1140	1146
381								1065					1077			1085			1091			1098					1110				1125	1131
283								1088		1094						1109			1116	1120	1123	1127	1130	1133	1137		1141	1146	1150	1157	1166	1173
385								1100					1112			1120	1123		1129								1146				1161	1167
287								1115			1124	1128	1133			1141	1144			1152		1156		1160	1164			1171			1182	1189
289							1118	1125			1133		1141		1147	1151	1154		1160	1164		1169		1173	1177		1181				1195	1202
191								1147		1152	1158	1162	1167	1171	1175	1180	1183		1189	1193	1197	1200	1203	1207	1210		1215	1220	1224	1230	1236	1242
193								1185		1190	1195	1200	1205	1208	1213	1217	1220		1227	1231	1235	1238	1241	1244	1248		1252	1257	1261	1267	1273	1280
195							1237	1245		1250	1255	1260	1265	1268	1273	1277	1280		1287	1291	1295	1298	1301	1304	1308		1312	1317	1321	1327	1333	1340
197							1297	1305		1310	1315	1320	1325	1328	1333	1337	1340		1347	1351	1355	1358	1361	1364	1368		1372	1377	1381	1387	1393	1400
199								1350		1355	1360	1365	1370	1374	1379	1384	1387		1393	1397	1401	1404	1407	1410	1414		1418	1422	1426	1432	1438	1445
