Train No.	Tamien	Gilroy	San Martin	Morgan Hill	Blossom Hill	Capitol	Tamien	San Jose	College Park	Santa Clara	Lawrence	Sunnyvale	Mountain View	San Antonio	California Ave	Palo Alto	Menlo Park	Atherton	Redwood City	San Carlos	Belmont	Hillsdale	Hayward Park	San Mateo	Burlingame	Broadway	Millbrae	San Bruno	South San Francisco	Bayshore	22nd Street	San Francisco
423								518		523	529	533	539	543	547	552	555	559	563	568	572	575	579	582	586	590	593	598	603	614	626	641
801								591				601	606			613			620			627		631			638			658	670	685
425								608		613	619	623	629	633	637	642	645	649	653	658	662	665	669	672	676	680	683	688	693	704	716	731
427								698		703	709	713	719	723	727	732	735	739	743	748	752	755	759	762	766	770	773	778	783	794	806	821
429								788		793	799	803	809	813	817	822	825	829	833	838	842	845	849	852	856	860	863	868	873	884	896	911
431								878		883	889	893	899	903	907	912	915	919	923	928	932	935	939	942	946	950	953	958	963	974	986	1001
433								968		973	979	983	989	993	997	1002	1005	1009	1013	1018	1022	1025	1029	1032	1036	1040	1043	1048	1053	1064	1076	1091
803								1041				1051	1056			1063			1070			1077		1081			1088			1108	1120	1135
435								1058		1063	1069	1073	1079	1083	1087	1092	1095	1099	1103	1108	1112	1115	1119	1122	1126	1130	1133	1138	1143	1154	1166	1181
437								1148		1153	1159	1163	1169	1173	1177	1182	1185	1189	1193	1198	1202	1205	1209	1212	1216	1220	1223	1228	1233	1244	1256	1271
439								1238		1243	1249	1253	1259	1263	1267	1272	1275	1279	1283	1288	1292	1295	1299	1302	1306	1310	1313	1318	1323	1334	1346	1361
441								1328		1333	1339	1343	1349	1353	1357	1362	1365	1369	1373	1378	1382	1385	1389	1392	1396	1400	1403	1408	1413	1424	1436	1451
421								420		425	430	434	439	443	447	451	454	457	461	465	468	471	475	478	482	486	489	494	499	510	522	537
443								1350		1355	1360	1364	1369	1373	1377	1382	1385	1389	1393	1398	1402	1405	1409	1412	1416	1420	1423	1428	1433	1444	1456	1471
501								360		365		372	377		384	389	392		398	402		408		413			421	425			433	439
503								390		395		402	407		414	419	422		428	432		438		443			451	455			463	469
505								1005		1010		1017	1022		1029	1034	1037		1043	1047		1053		1058			1066	1071			1078	1084
507								1088		1093		1100	1105		1112	1117	1120		1126	1130		1136		1141			1149	1154			1161	1167
