Train No.	San Francisco	22nd Street	Bayshore	South San Francisco	San Bruno	Millbrae	Broadway	Burlingame	San Mateo	Hayward Park	Hillsdale	Belmont	San Carlos	Redwood City	Atherton	Menlo Park	Palo Alto	California Ave	San Antonio	Mountain View	Sunnyvale	Lawrence	Santa Clara	College Park	San Jose	Tamien	Capitol	Blossom Hill	Morgan Hill	San Martin	Gilroy	San Jose
102	295	299	304	310	314	318		322	325	328	332	335	338	341		347	351	355	359	364	370	375	382		391							
104	325	329	334	340	344	348		353	357	360	363	367	370	375		380	384	388	392	397	402	406	411		421	426						
206	365	369				382		386	390		394		399	404		410	414	417		424		429			439							
208	375	379	384	391	395	399		404	408	411	414	418	422	426			434						447		456							
310	395	399				412								431		437	441			448					463	468						
212	405	411				424			431				438	443		449	453	457	461	466	471	476	483	486	492							
314	419	423				436					444			451			457			470					485							
216	425	430			440			447	451		455		460			468	472			479		487			500							
218	435	439	444	451	455	459		464	468	471	474	478	482	486			494						507		516							
320	455	459				472								491		497	501			508					523	528						
222	465	471				484			491				498	503		509	513	517	521	526	531	536	543		552							
324	479	483				496					504			511			517			530					545							
226	485	490			500			507	511		515		520			528	532			539		547			560							
228	495	499	504	511	515	519		524	528	531	534	538	542	546			554						567		576							
330	515	519				532								551		557	561			568					583	588						
232	525	529				542			549		553		558	563		569	573	577	581	586	591	596	603		611							
134	540	545	550	557	561	565		569	572	576	579	583	586	591		596	600	604	608	613	618	622	627		635							
236	585				597	601		606	610		614	618	621	626		631	635	638	643	647	652	656	662		672	677						
138	600	604	609	616	620	625		629	632	636	639	643	646	651		656	660	664	668	673	678	682	688		695							
142	660	664	669	676	680	685		689	692	696	699	703	706	711		716	720	724	728	733	738	742	748		755							
146	720	724	729	736	740	745		749	752	756	759	763	766	771		776	780	784	788	793	798	802	808		815							
150	780	784	789	796	800	805		809	812	816	819	823	826	831		836	840	844	848	853	858	862	868		875							
152	840	844	849	856	860	865		869	872	876	879	883	886	891		896	900	904	908	913	918	922	928		935							
254	883				895	899		904	907		911	915	918	923		928	932	936	940	945	950	954	959		969	974						
156	900	904	909	916	920	924		929	932	936	939	943	946	951		956	960	964	968	973	978	983	988	991	1000	1005	1012	1018	1031	1037	1050	
258	934				946	951		956	959		964	968	971	976		982	986	989	994	998	1004	1008	1013		1023	1028						
360	972					987					995						1006			1015					1031							
262	983				996			1002	1006		1010		1016				1024	1028		1035	1040		1047		1054							
264	992	996	1001	1012	1015	1020		1025	1028	1032	1035	1039	1042	1048		1054				1062	1067		1074		1082							
366	998					1013			1019					1028			1035	1038			1049				1064	1069						
268	1018			1029		1035					1043			1053		1059	1063	1066	1070	1075	1080	1086	1093		1104	1109	1116	1122	1135	1141	1154	
370	1036					1053					1063						1076			1083					1098							
272	1047				1060			1066	1070		1074		1080				1088	1092		1099	1104		1111		1118							
274	1052	1056	1062	1071	1075	1080		1085	1089	1092	1095	1099	1102	1108		1114				1122	1127	1131	1137		1146	1151	1158	1164	1177	1183	1196	
376	1058					1073			1079					1088			1095	1098			1109				1124	1129						
278	1078			1089		1095					1103			1113		1119	1123	1126	1130	1135	1140	1145	1152		1164	1169						
380	1096					1113					1123						1135			1142					1158							
282	1103				1116			1122	1126		1130		1136				1144	1148		1155	1160				1173							
284	1112	1116	1121	1132	1135	1140		1145	1148	1152	1155	1159	1162	1168		1174				1183	1188		1195		1204							
386	1118					1133			1139					1148			1155				1168				1183	1188						
288	1138			1149		1155					1163			1173		1179	1183	1186	1190	1195	1200	1205	1210		1221	1226						
190	1170	1174	1179	1186	1190	1196		1201	1204	1208	1211	1215	1218	1223		1228	1232	1235	1239	1244	1249	1253	1258		1266							
192	1230	1234	1239	1246	1250	1256		1261	1264	1268	1271	1275	1278	1283		1288	1292	1295	1299	1304	1309	1313	1318		1326	1331						
194	1290	1294	1299	1306	1310	1316		1321	1324	1328	1331	1335	1338	1343		1348	1352	1355	1359	1364	1369	1373	1378		1386	1391						
196	1360	1364	1369	1376	1380	1386		1391	1394	1398	1401	1405	1408	1413		1418	1422	1425	1429	1434	1439	1443	1448		1456							
198	1445	1450	1455	1461	1465	1469		1473	1476	1480	1483	1487	1490	1495		1500	1504	1507	1511	1516	1521	1525	1530		1538							
