Train No.	San Francisco	22nd Street	Bayshore	South San Francisco	San Bruno	Millbrae	Broadway	Burlingame	San Mateo	Hayward Park	Hillsdale	Belmont	San Carlos	Redwood City	Atherton	Menlo Park	Palo Alto	California Ave	San Antonio	Mountain View	Sunnyvale	Lawrence	Santa Clara	College Park	San Jose	Tamien	Capitol	Blossom Hill	Morgan Hill	San Martin	Gilroy	San Jose
422	463	471	498	504	510	514	518	521	525	528	532	536	539	544	549	552	556	560	564	569	574	578	584		592							
424	553	561	588	594	600	604	608	611	615	618	622	626	629	634	639	642	646	650	654	659	664	668	674		682							
426	643	651	678	684	690	694	698	701	705	708	712	716	719	724	729	732	736	740	744	749	754	758	764		772							
802	696	704	731			739			746		750			757			764			772	777				792							
428	733	741	768	774	780	784	788	791	795	798	802	806	809	814	819	822	826	830	834	839	844	848	854		862							
430	823	831	858	864	870	874	878	881	885	888	892	896	899	904	909	912	916	920	924	929	934	938	944		952							
432	913	921	948	954	960	964	968	971	975	978	982	986	989	994	999	1002	1006	1010	1014	1019	1024	1028	1034		1042							
434	1003	1011	1038	1044	1050	1054	1058	1061	1065	1068	1072	1076	1079	1084	1089	1092	1096	1100	1104	1109	1114	1118	1124		1132							
436	1093	1101	1128	1134	1140	1144	1148	1151	1155	1158	1162	1166	1169	1174	1179	1182	1186	1190	1194	1199	1204	1208	1214		1222							
804	1146	1154	1181			1189			1196		1200			1207			1214			1222	1227				1239							
438	1183	1191	1218	1224	1230	1234	1238	1241	1245	1248	1252	1256	1259	1264	1269	1272	1276	1280	1284	1289	1294	1298	1304		1312							
440	1273	1281	1308	1314	1320	1324	1328	1331	1335	1338	1342	1346	1349	1354	1359	1362	1366	1370	1374	1379	1384	1388	1394		1402							
442	1347	1355	1382	1388	1393	1398	1402	1405	1409	1412	1416	1420	1423	1428	1433	1436	1440	1444	1448	1453	1458	1462	1468		1476							
444	1420	1428	1455	1461	1465	1469	1473	1475	1481	1484	1487	1490	1493	1499	1503	1506	1509	1513	1517	1521	1526	1530	1535		1543							
502	367	372			381	385			392		396		400	405		410	413	417		423	428		440		448							
504	427	432			441	445			452		456		460	465		470	473	477		483	488		500		508							
506	1005	1010			1019	1023			1030		1034		1038	1043		1048	1051	1055		1061	1066		1078		1086							
508	1065	1070			1079	1083			1090		1094		1098	1103		1108	1111	1115		1121	1126		1138		1146							
